"","x"
"1","Acrochordus_arafurae"
"2","Alligator_mississippiensis"
"3","Apalone_ferox"
"4","Chrysemys_picta"
"5","Chrysemys_dorbignyi"
"6","Crocodylus_porosus"
"7","Deronectes_algibensis"
"8","Deronectes_angusi"
"9","Deronectes_aubei"
"10","Deronectes_bicostatus"
"11","Deronectes_brannanii"
"12","Deronectes_depressicollis"
"13","Deronectes_fairmairei"
"14","Deronectes_hispanicus"
"15","Deronectes_lareynii"
"16","Deronectes_latus"
"17","Deronectes_moestus"
"18","Deronectes_opatrinus"
"19","Deronectes_platynotus"
"20","Deronectes_semirufus"
"21","Deronectes_wewalkai"
"22","Ilybius_chalconatus"
"23","Ilybius_erichsonii"
"24","Ilybius_hozgargantae"
"25","Ilybius_meridionalis"
"26","Ilybius_montanus"
"27","Ilybius_neglectus"
"28","Ilybius_pederzani"
"29","Ilybius_subtilis"
"30","Elseya_irwini"
"31","Elseya_albagula"
"32","Elusor_macrurus"
"33","Emydura_macquarii"
"34","Hydrophis_curtus"
"35","Hydrophis_elegans"
"36","Natrix_maura"
"37","Rheodytes_leukops"
"38","Trachemys_scripta"
"39","Triturus_alpestris"
